First Come First Serve Scheduler Simulation # 1  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
80 1111 RUNNING WAITING
80 2222 READY RUNNING
98 1111 WAITING READY
140 2222 RUNNING WAITING
140 3333 READY RUNNING
145 2222 WAITING READY
155 3333 RUNNING WAITING
155 4444 READY RUNNING
167 3333 WAITING READY
285 4444 RUNNING WAITING
285 5555 READY RUNNING
292 4444 WAITING READY
355 5555 RUNNING WAITING
355 6666 READY RUNNING
358 6666 RUNNING WAITING
358 1111 READY RUNNING
360 6666 WAITING READY
369 5555 WAITING READY
438 1111 RUNNING WAITING
438 2222 READY RUNNING
456 1111 WAITING READY
498 2222 RUNNING WAITING
498 3333 READY RUNNING
503 2222 WAITING READY
513 3333 RUNNING WAITING
513 4444 READY RUNNING
525 3333 WAITING READY
643 4444 RUNNING WAITING
643 6666 READY RUNNING
646 6666 RUNNING WAITING
646 5555 READY RUNNING
648 6666 WAITING READY
650 4444 WAITING READY
716 5555 RUNNING WAITING
716 1111 READY RUNNING
730 5555 WAITING READY
766 1111 RUNNING SUSPENDED
766 2222 READY RUNNING
826 2222 RUNNING WAITING
826 3333 READY RUNNING
831 2222 WAITING READY
841 3333 RUNNING WAITING
841 6666 READY RUNNING
844 6666 RUNNING WAITING
844 4444 READY RUNNING
846 6666 WAITING READY
853 3333 WAITING READY
926 4444 RUNNING SUSPENDED
926 5555 READY RUNNING
996 5555 RUNNING WAITING
996 2222 READY RUNNING
1010 5555 WAITING READY
1056 2222 RUNNING WAITING
1056 6666 READY RUNNING
1059 6666 RUNNING WAITING
1059 3333 READY RUNNING
1061 2222 WAITING READY
1061 6666 WAITING READY
1074 3333 RUNNING WAITING
1074 5555 READY RUNNING
1086 3333 WAITING READY
1144 5555 RUNNING WAITING
1144 2222 READY RUNNING
1158 5555 WAITING READY
1187 2222 RUNNING SUSPENDED
1187 6666 READY RUNNING
1190 6666 RUNNING WAITING
1190 3333 READY RUNNING
1192 6666 WAITING READY
1205 3333 RUNNING WAITING
1205 5555 READY RUNNING
1217 3333 WAITING READY
1275 5555 RUNNING WAITING
1275 6666 READY RUNNING
1278 6666 RUNNING WAITING
1278 3333 READY RUNNING
1280 6666 WAITING READY
1289 5555 WAITING READY
1293 3333 RUNNING WAITING
1293 6666 READY RUNNING
1295 6666 RUNNING SUSPENDED
1295 5555 READY RUNNING
1305 3333 WAITING READY
1365 5555 RUNNING WAITING
1365 3333 READY RUNNING
1379 5555 WAITING READY
1380 3333 RUNNING WAITING
1380 5555 READY RUNNING
1392 3333 WAITING READY
1450 5555 RUNNING WAITING
1450 3333 READY RUNNING
1464 5555 WAITING READY
1465 3333 RUNNING SUSPENDED
1465 5555 READY RUNNING
1480 5555 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 8  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
1 5555 READY RUNNING
41 5555 RUNNING WAITING
41 7070 READY RUNNING
50 5555 WAITING READY
73 7070 RUNNING WAITING
73 5423 READY RUNNING
104 7070 WAITING READY
173 5423 RUNNING WAITING
173 4234 READY RUNNING
175 4234 RUNNING WAITING
175 2000 READY RUNNING
182 5423 WAITING READY
185 4234 WAITING READY
405 2000 RUNNING WAITING
405 8080 READY RUNNING
409 2000 WAITING READY
425 8080 RUNNING WAITING
425 5434 READY RUNNING
435 8080 WAITING READY
465 5434 RUNNING WAITING
465 7863 READY RUNNING
468 5434 WAITING READY
538 7863 RUNNING WAITING
538 2487 READY RUNNING
547 2487 RUNNING WAITING
547 1002 READY RUNNING
561 7863 WAITING READY
561 2487 WAITING READY
627 1002 RUNNING WAITING
627 1234 READY RUNNING
632 1002 WAITING READY
657 1234 RUNNING WAITING
657 8888 READY RUNNING
660 1234 WAITING READY
827 8888 RUNNING WAITING
827 0 READY RUNNING
844 8888 WAITING READY
917 0 RUNNING WAITING
917 5555 READY RUNNING
923 0 WAITING READY
945 5555 RUNNING SUSPENDED
945 7070 READY RUNNING
977 7070 RUNNING WAITING
977 5423 READY RUNNING
1008 7070 WAITING READY
1077 5423 RUNNING WAITING
1077 4234 READY RUNNING
1079 4234 RUNNING WAITING
1079 2000 READY RUNNING
1086 5423 WAITING READY
1088 2000 RUNNING SUSPENDED
1088 8080 READY RUNNING
1089 4234 WAITING READY
1108 8080 RUNNING WAITING
1108 5434 READY RUNNING
1118 8080 WAITING READY
1148 5434 RUNNING WAITING
1148 7863 READY RUNNING
1151 5434 WAITING READY
1221 7863 RUNNING WAITING
1221 2487 READY RUNNING
1230 2487 RUNNING WAITING
1230 1002 READY RUNNING
1244 7863 WAITING READY
1244 2487 WAITING READY
1310 1002 RUNNING WAITING
1310 1234 READY RUNNING
1315 1002 WAITING READY
1340 1234 RUNNING WAITING
1340 8888 READY RUNNING
1343 1234 WAITING READY
1510 8888 RUNNING WAITING
1510 0 READY RUNNING
1527 8888 WAITING READY
1600 0 RUNNING WAITING
1600 7070 READY RUNNING
1606 0 WAITING READY
1615 7070 RUNNING SUSPENDED
1615 5423 READY RUNNING
1635 5423 RUNNING SUSPENDED
1635 4234 READY RUNNING
1637 4234 RUNNING WAITING
1637 8080 READY RUNNING
1647 4234 WAITING READY
1657 8080 RUNNING WAITING
1657 5434 READY RUNNING
1667 8080 WAITING READY
1697 5434 RUNNING WAITING
1697 7863 READY RUNNING
1700 5434 WAITING READY
1704 7863 RUNNING SUSPENDED
1704 2487 READY RUNNING
1713 2487 RUNNING WAITING
1713 1002 READY RUNNING
1727 2487 WAITING READY
1793 1002 RUNNING WAITING
1793 1234 READY RUNNING
1798 1002 WAITING READY
1823 1234 RUNNING WAITING
1823 8888 READY RUNNING
1826 1234 WAITING READY
1983 8888 RUNNING SUSPENDED
1983 0 READY RUNNING
2073 0 RUNNING WAITING
2073 4234 READY RUNNING
2075 4234 RUNNING WAITING
2075 8080 READY RUNNING
2079 0 WAITING READY
2085 4234 WAITING READY
2095 8080 RUNNING WAITING
2095 5434 READY RUNNING
2105 8080 WAITING READY
2125 5434 RUNNING SUSPENDED
2125 2487 READY RUNNING
2134 2487 RUNNING WAITING
2134 1002 READY RUNNING
2147 1002 RUNNING SUSPENDED
2147 1234 READY RUNNING
2148 2487 WAITING READY
2177 1234 RUNNING WAITING
2177 0 READY RUNNING
2180 1234 WAITING READY
2267 0 RUNNING WAITING
2267 4234 READY RUNNING
2269 4234 RUNNING WAITING
2269 8080 READY RUNNING
2273 0 WAITING READY
2279 4234 WAITING READY
2289 8080 RUNNING WAITING
2289 2487 READY RUNNING
2297 2487 RUNNING SUSPENDED
2297 1234 READY RUNNING
2299 8080 WAITING READY
2327 1234 RUNNING WAITING
2327 0 READY RUNNING
2330 1234 WAITING READY
2347 0 RUNNING SUSPENDED
2347 4234 READY RUNNING
2349 4234 RUNNING SUSPENDED
2349 8080 READY RUNNING
2357 8080 RUNNING SUSPENDED
2357 1234 READY RUNNING
2387 1234 RUNNING WAITING
2390 1234 WAITING READY
2390 1234 READY RUNNING
2418 1234 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 9  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
4 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
12 2222 RUNNING WAITING
12 3333 READY RUNNING
16 1111 WAITING READY
17 2222 WAITING READY
17 3333 RUNNING WAITING
17 4444 READY RUNNING
20 4444 RUNNING WAITING
20 5555 READY RUNNING
22 3333 WAITING READY
22 5555 RUNNING WAITING
22 1111 READY RUNNING
25 5555 WAITING READY
26 4444 WAITING READY
27 1111 RUNNING WAITING
27 2222 READY RUNNING
30 2222 RUNNING WAITING
30 3333 READY RUNNING
34 1111 WAITING READY
35 2222 WAITING READY
35 3333 RUNNING WAITING
35 5555 READY RUNNING
37 5555 RUNNING WAITING
37 4444 READY RUNNING
40 3333 WAITING READY
40 5555 WAITING READY
40 4444 RUNNING WAITING
40 1111 READY RUNNING
41 1111 RUNNING SUSPENDED
41 2222 READY RUNNING
44 2222 RUNNING WAITING
44 3333 READY RUNNING
45 3333 RUNNING SUSPENDED
45 5555 READY RUNNING
46 4444 WAITING READY
47 5555 RUNNING WAITING
47 4444 READY RUNNING
49 2222 WAITING READY
50 5555 WAITING READY
50 4444 RUNNING WAITING
50 2222 READY RUNNING
52 2222 RUNNING SUSPENDED
52 5555 READY RUNNING
54 5555 RUNNING WAITING
56 4444 WAITING READY
56 4444 READY RUNNING
57 5555 WAITING READY
58 4444 RUNNING SUSPENDED
58 5555 READY RUNNING
60 5555 RUNNING WAITING
63 5555 WAITING READY
63 5555 READY RUNNING
64 5555 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 10  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
30 1111 RUNNING WAITING
30 4444 READY RUNNING
50 1111 WAITING READY
50 4444 RUNNING WAITING
50 2222 READY RUNNING
80 2222 RUNNING WAITING
80 3333 READY RUNNING
106 2222 WAITING READY
140 4444 WAITING READY
220 3333 RUNNING SUSPENDED
220 5555 READY RUNNING
250 5555 RUNNING WAITING
250 1111 READY RUNNING
280 5555 WAITING READY
280 1111 RUNNING WAITING
280 6666 READY RUNNING
300 1111 WAITING READY
320 6666 RUNNING SUSPENDED
320 2222 READY RUNNING
350 2222 RUNNING WAITING
350 4444 READY RUNNING
370 4444 RUNNING WAITING
370 5555 READY RUNNING
376 2222 WAITING READY
400 5555 RUNNING WAITING
400 1111 READY RUNNING
430 5555 WAITING READY
430 1111 RUNNING WAITING
430 2222 READY RUNNING
450 1111 WAITING READY
460 4444 WAITING READY
460 2222 RUNNING WAITING
460 5555 READY RUNNING
486 2222 WAITING READY
490 5555 RUNNING WAITING
490 1111 READY RUNNING
520 5555 WAITING READY
520 1111 RUNNING WAITING
520 4444 READY RUNNING
540 1111 WAITING READY
540 4444 RUNNING WAITING
540 2222 READY RUNNING
570 2222 RUNNING WAITING
570 5555 READY RUNNING
596 2222 WAITING READY
600 5555 RUNNING WAITING
600 1111 READY RUNNING
630 4444 WAITING READY
630 5555 WAITING READY
630 1111 RUNNING WAITING
630 2222 READY RUNNING
650 1111 WAITING READY
660 2222 RUNNING SUSPENDED
660 4444 READY RUNNING
680 4444 RUNNING WAITING
680 5555 READY RUNNING
710 5555 RUNNING WAITING
710 1111 READY RUNNING
720 1111 RUNNING SUSPENDED
740 5555 WAITING READY
740 5555 READY RUNNING
770 4444 WAITING READY
770 5555 RUNNING WAITING
770 4444 READY RUNNING
790 4444 RUNNING WAITING
800 5555 WAITING READY
800 5555 READY RUNNING
830 5555 RUNNING WAITING
860 5555 WAITING READY
860 5555 READY RUNNING
880 4444 WAITING READY
880 5555 RUNNING SUSPENDED
880 4444 READY RUNNING
900 4444 RUNNING WAITING
990 4444 WAITING READY
990 4444 READY RUNNING
1010 4444 RUNNING WAITING
1100 4444 WAITING READY
1100 4444 READY RUNNING
1120 4444 RUNNING WAITING
1210 4444 WAITING READY
1210 4444 READY RUNNING
1230 4444 RUNNING WAITING
1320 4444 WAITING READY
1320 4444 READY RUNNING
1340 4444 RUNNING WAITING
1430 4444 WAITING READY
1430 4444 READY RUNNING
1450 4444 RUNNING WAITING
1540 4444 WAITING READY
1540 4444 READY RUNNING
1560 4444 RUNNING WAITING
1650 4444 WAITING READY
1650 4444 READY RUNNING
1670 4444 RUNNING WAITING
1760 4444 WAITING READY
1760 4444 READY RUNNING
1780 4444 RUNNING WAITING
1870 4444 WAITING READY
1870 4444 READY RUNNING
1890 4444 RUNNING WAITING
1980 4444 WAITING READY
1980 4444 READY RUNNING
2000 4444 RUNNING WAITING
2090 4444 WAITING READY
2090 4444 READY RUNNING
2110 4444 RUNNING WAITING
2200 4444 WAITING READY
2200 4444 READY RUNNING
2210 4444 RUNNING SUSPENDED
